2012529	1
2012606	1
2012607	1
2012611	2
2012613	2
2012625	6
2012627	2
2012629	1
2012702	8
2012705	2
2012709	4
2012710	1
2012716	2
2012719	1
2012723	1
2012725	1
2012730	4
2012731	1
2012801	3
2012802	2
2012806	4
2012807	2
2012809	1
2012810	2
2012813	5
2012816	2
2012817	2
2012821	3
2012822	2
2012824	6
2012827	5
2012828	1
2012831	1
2012904	6
2012905	3
2012906	6
2012907	3
2012910	2
2012912	1
2012913	2
2012914	3
2012917	6
2012918	5
2012919	1
2012920	3
2012921	1
2012924	8
2012925	1
2012926	1
2012928	1
2013001	3
2013002	3
2013003	2
2013004	2
2013009	1
2013012	3
2013015	3
2013018	1
2013019	3
2013022	2
2013023	1
2013024	1
2013025	2
2013026	1
2013029	3
2013102	5
2013104	3
2013105	1
2013106	1
2013107	3
2013108	4
2013109	1
2013111	2
2013113	5
2013114	6
2013115	4
2013116	2
2013118	1
2013119	2
2013120	1
2013122	3
2013123	1
2013125	1
2013126	3
2013127	1
2013128	6
2013130	3
2013131	1
2013201	1
2013203	4
2013204	2
2013205	5
2013207	4
2013210	2
2013211	1
2013212	3
2013214	2
2013215	5
2013217	5
2013218	1
2013219	10
2013220	2
2013221	1
2013224	7
2013225	2
2013226	10
2013227	1
2013228	1
2013231	9
2013301	1
2013305	4
2013306	2
2013311	8
2013312	1
2013315	1
2013318	2
2013321	1
2013322	4
2013325	3
2013326	2
2013401	2
2013402	1
2013403	2
2013404	2
2013405	2
2013408	1
2013409	1
2013410	2
2013412	3
2013415	8
2013416	4
2013417	1
2013418	1
2013419	4
2013422	5
2013423	3
2013424	1
2013425	1
2013426	1
2013429	2
2013430	1
2013501	2
2013502	2
2013503	3
2013506	4
2013507	1
2013508	1
2013510	2
2013516	1
2013517	2
2013520	3
2013521	1
2013522	1
2013523	2
2013524	3
2013528	9
2013529	1
2013530	3
2013531	1
2013603	1
2013610	1
2013619	1
2013620	1
2013621	1
2013705	2
2013715	1
2013722	1
2013725	1
2013729	7
2013730	4
2013731	1
2013801	1
2013802	1
2013805	8
2013806	1
2013807	4
2013808	1
2013809	1
2013812	4
2013813	1
2013814	1
2013815	3
2013816	1
2013819	4
2013820	2
2013821	3
2013822	1
2013823	2
2013826	11
2013827	3
2013828	3
2013830	1
2013903	3
2013904	2
2013905	1
2013909	1
2013910	1
2013911	1
2013912	1
2013913	2
2013916	4
2013917	2
2013918	1
2013919	3
2013920	3
2013923	7
2013924	3
2013925	3
2013926	1
2013927	4
2013930	3
2014001	2
2014002	3
2014003	3
2014004	5
2014007	7
2014008	1
2014009	4
2014010	3
2014011	1
2014015	8
2014016	1
2014017	2
2014018	3
2014021	2
2014022	1
2014023	3
2014024	1
2014025	3
2014028	7
2014029	3
2014030	1
2014031	2
2014101	2
2014102	3
2014103	3
2014104	5
2014105	2
2014106	4
2014107	2
2014108	4
2014109	2
2014112	11
2014113	3
2014114	5
2014115	4
2014116	1
2014117	3
2014118	4
2014119	2
2014120	6
2014121	12
2014122	7
2014123	1
2014124	4
2014125	11
2014126	2
2014127	6
2014128	6
2014129	8
2014130	4
2014131	2
2014202	4
2014203	14
2014204	2
2014205	5
2014206	2
2014209	9
2014210	2
2014211	3
2014212	1
2014213	3
2014216	6
2014217	4
2014218	1
2014220	3
2014223	1
2014224	2
2014226	3
2014227	2
2014230	2
2014231	2
